,doc_id,source,investigation_num,modified_title,modified_creator,modified_modified,modified_occurence_date,modified_release_date,doc_length
70,70,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18d0069/r18d0069.html,R18D0069,Railway Investigation Report R04T0013 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-27,22 January 2004,21 April 2005,2151
71,71,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18v0127/r18v0127.html,R18V0127,Railway Investigation Report R04T0161 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-27,25 July 2004,26 July 2006,5450
72,72,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18q0046/r18q0046.html,R18Q0046,Railway Investigation Report R04V0100 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-27,8 July 2004,23 June 2006,4068
73,73,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18h0039/r18h0039.html,R18H0039,Railway Investigation Report R04V0173 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-27,24 October 2004,01 February 2006,1981
74,74,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18t0058/r18t0058.html,R18T0058,Railway Investigation Report R04W0035 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-24,17 February 2004,25 January 2005,3242
75,75,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18e0007/r18e0007.html,R18E0007,Railway Investigation Report R04W0148 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2019-11-29,8 August 2004,28 July 2005,2832
76,76,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18t0006/r18t0006.html,R18T0006,Railway Investigation Report R05C0049 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-30,9 February 2005,28 March 2007,2628
77,77,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18w0007/r18w0007.html,R18W0007,Railway Investigation Report R05C0082 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-30,27 May 2005,13 July 2007,3975
78,78,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18e0138/r18e0138.html,R18E0138,Railway Investigation Report R05C0116 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-30,13 July 2005,08 December 2006,2403
79,79,https://tsb.gc.ca/eng/enquetes-investigations/rail/2017/r17w0267/r17w0267.html,R17W0267,Railway Investigation Report R05E0008 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-30,31 January 2005,09 January 2007,4446
80,80,https://tsb.gc.ca/eng/rapports-reports/rail/1991/r91h0006/r91h0006.html,R91H0006,Railway Investigation Report R05E0059 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-30,3 August 2005,,9568
81,81,https://tsb.gc.ca/eng/rapports-reports/rail/1992/r92t0183/r92t0183.html,R92T0183,Railway Investigation Report R05H0011 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-30,2 May 2005,01 March 2006,2684
82,82,https://tsb.gc.ca/eng/rapports-reports/rail/1993/r93c0103/r93c0103.html,R93C0103,Railway Investigation Report R05H0013 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-30,4 July 2005,29 May 2006,2205
83,83,https://tsb.gc.ca/eng/rapports-reports/rail/1993/r93t0201/r93t0201.html,R93T0201,Railway Investigation Report R05Q0010 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-31,23 February 2005,08 August 2006,2735
84,84,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94c0010/r94c0010.html,R94C0010,Railway Investigation Report R05Q0033 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-02-02,31 July 2005,18 April 2007,2220
85,85,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94c0035/r94c0035.html,R94C0035,Railway Investigation Report R05Q0040 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-02-02,22 August 2005,27 September 2007,2104
86,86,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94c0137/r94c0137.html,R94C0137,Railway Investigation Report R05T0030 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-02-03,17 February 2005,,8306
87,87,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94d0033/r94d0033.html,R94D0033,Railway Investigation Report R05V0141 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-02-03,5 August 2005,,10317
88,88,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94d0191/r94d0191.html,R94D0191,Railway Investigation Report R05W0014 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-02-23,12 January 2005,17 May 2006,1712
