doc_id,source,investigation_num,chunk_id,chunk_length,title,creator,modified,occurence_date,release_date
309,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08v0270/r08v0270.html,R08V0270,309_5874,39,Rail transportation safety investigation R19W0017 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-06-04,22 January 2019,22 January 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5875,150,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5876,145,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5877,151,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5878,145,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5879,143,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5880,148,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5881,156,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5882,144,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5883,136,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5884,167,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
